journal,count
IEEE Access,370
Sensors,105
International Journal of Computer Engineering in Research Trends,79
Sustainability,68
Electronics,67
arXiv (Cornell University),65
Applied Sciences,47
SSRN Electronic Journal,41
Journal of Medical Internet Research,39
ACM Computing Surveys,38
Energies,36
Computers & Security,33
World Journal of Advanced Research and Reviews,32
AI and Ethics,28
International Journal of Information Security,27
Artificial Intelligence Review,25
Future Internet,25
IEEE Communications Surveys & Tutorials,25
Scientific Reports,23
Information,21
Journal Of Big Data,20
Heliyon,20
Preprints.org,20
IEEE Internet of Things Journal,19
npj Digital Medicine,19
Security and Communication Networks,18
Cureus,17
Information Systems Frontiers,17
Computer law & security review,17
Journal of Cybersecurity,16
