keyword,count
computer science,4325
computer security,2295
business,1595
political science,1578
artificial intelligence,1519
law,1324
engineering,1295
data science,1290
world wide web,986
operating system,886
psychology,788
internet privacy,778
medicine,771
biology,732
economics,672
knowledge management,666
sociology,600
mathematics,592
machine learning,551
philosophy,551
data mining,507
the internet,481
health care,475
physics,443
engineering ethics,434
public relations,423
internet of things,399
pathology,398
programming language,386
finance,375
big data,364
risk analysis (engineering),361
marketing,356
information privacy,326
context (archaeology),323
blockchain,303
cloud computing,302
paleontology,292
economic growth,278
computer network,275
linguistics,266
epistemology,264
telecommunications,253
alternative medicine,244
key (lock),236
transparency (behavior),235
electrical engineering,234
geography,232
database,231
quantum mechanics,229
social psychology,228
process (computing),219
social science,219
pure mathematics,215
field (mathematics),212
mechanical engineering,209
corporate governance,202
data sharing,190
process management,189
management science,189
deep learning,183
ecology,182
politics,180
intrusion detection system,177
algorithm,164
software engineering,161
embedded system,160
mathematical analysis,159
distributed computing,154
software deployment,153
archaeology,153
pedagogy,149
malware,143
encryption,143
data protection act 1998,143
nursing,140
analytics,138
medline,137
government (linguistics),136
chemistry,134
botany,132
art,132
statistics,131
human–computer interaction,125
systems engineering,122
power (physics),120
confidentiality,120
geometry,119
work (physics),118
generative grammar,115
management,115
scalability,115
information security,115
disease,111
cryptography,109
biochemistry,109
accountability,108
smart grid,107
perspective (graphical),106
gene,106
