keyword,burst_year,count,z_score
coronavirus disease 2019 (covid-19),2020,45.0,3.09
pandemic,2020,33.0,3.09
infectious disease (medical specialty),2020,43.0,3.05
disease,2020,45.0,3.03
international trade,2021,14.0,2.61
pure mathematics,2023,70.0,3.06
field (mathematics),2023,68.0,3.05
exploit,2023,17.0,3.0
power (physics),2023,35.0,2.97
smart city,2023,26.0,2.96
vulnerability (computing),2023,23.0,2.85
resource (disambiguation),2023,15.0,2.83
interoperability,2023,28.0,2.81
quality (philosophy),2023,22.0,2.81
transparency (behavior),2023,66.0,2.76
digital transformation,2023,23.0,2.76
quantum mechanics,2023,55.0,2.75
architecture,2023,24.0,2.75
metric (unit),2023,23.0,2.71
mathematics,2023,151.0,2.68
art,2023,34.0,2.68
variety (cybernetics),2023,24.0,2.66
malware,2023,39.0,2.65
data breach,2023,16.0,2.64
taxonomy (biology),2023,15.0,2.62
physics,2023,104.0,2.61
grid,2023,17.0,2.61
visual arts,2023,28.0,2.58
data quality,2023,21.0,2.57
software engineering,2023,39.0,2.56
confidentiality,2023,27.0,2.55
medical education,2023,23.0,2.54
risk analysis (engineering),2023,90.0,2.52
artificial neural network,2023,23.0,2.51
geology,2024,14.0,2.84
natural language processing,2024,17.0,2.69
pedagogy,2024,51.0,2.64
gene,2024,25.0,2.59
generative grammar,2024,45.0,2.58
ethical issues,2025,20.0,3.23
perception,2025,13.0,2.55
