Id,Frequency
Maanak Gupta,3
Mahmoud Abdelsalam,2
Sajad Khorsandroo,2
Sudip Mittal,5
Daiju Ueda,1
Taichi Kakinuma,1
Shohei Fujita,1
Koji Kamagata,1
Yasutaka Fushimi,1
Rintaro Ito,1
Yusuke Matsui,1
Taiki Nozaki,1
Takeshi Nakaura,1
Noriyuki Fujima,1
Fuminari Tatsugami,1
Masahiro Yanagawa,1
Kenji Hirata,1
Akira Yamada,1
Takahiro Tsuboyama,1
Mariko Kawamura,1
Tomoyuki Fujioka,1
Shinji Naganawa,1
Safa Hamdare,1
Omprakash Kaiwartya,2
Mohammad Aljaidi,1
Manish Jugran,1
Yue Cao,3
Sushil Kumar,1
Mufti Mahmud,3
David J. Brown,1
Jaime Lloret,2
Pardeep Kumar,3
Yun Lin,1
Guangdong Bai,1
Andrew Paverd,1
Jin Song Dong,1
Andrew Martin,2
Doyen Sahoo,1
Chenghao Liu,1
Steven C. H. Hoi,1
Monika Roopak,1
Gui Yun Tian,1
Jonathon A. Chambers,1
Ibrar Yaqoob,3
Ejaz Ahmed,1
Muhammad Habib ur Rehman,7
Abdelmuttlib Ibrahim Abdalla Ahmed,2
Mohammed Ali Al-Garadi,3
Muhammad Imran,9
Mohsen Guizani,10
Arwa Aldweesh,2
Abdelouahid Derhab,6
Ahmed Emam,2
Saira Ghafur,3
Emilia Graß,2
Nick R Jennings,1
Ara Darzi,4
Hao Yu,4
Yunyun Guo,2
Marcus Pendleton,1
Richard Garcia-Lebron,1
Jin-Hee Cho,4
Shouhuai Xu,3
Zhongxiang Wei,2
Fan Liu,3
Christos Masouros,3
Nanchi Su,2
Athina P. Petropulu,2
Danda B. Rawat,3
Ronald Doku,2
Moses Garuba,1
Jin Ho Park Jin Ho Park,1
Sushil Kumar Singh Jin Ho Park,1
Mikail Mohammed Salim Sushil Kumar Singh,1
Abir EL Azzaoui Mikail Mohammed Salim,1
Jong Hyuk Park Abir EL Azzaoui,1
Priyanka Jayakumar,1
Sarfraz Nawaz Brohi,1
N. Z. Jhanjhi,5
Helem Sabina Sánchez,1
Damiano Rotondo,1
Teresa Escobet,1
Vicenç Puig,1
Joseba Quevedo,1
Christoph Bösch,1
Pieter Hartel,2
Willem Jonker,1
Peter Andreas,1
Ryan Heartfield,1
George Loukas,1
Sanja Budimir,1
Anatolij Bezemskij,1
Johnny R. J. Fontaine,1
Avgoustinos Filippoupolitis,1
Etienne B. Roesch,1
Jiaming Pei,1
Wenxuan Liu,1
Jinhai Li,1
Lukun Wang,1
Chao Liu,2
Nachaat Mohamed,2
Na Liu,1
Alexandros Nikitas,2
Simon Parkinson,2
Tymoteusz Miller,3
Grzegorz Mikiciuk,1
Irmina Durlik,3
Małgorzata Mikiciuk,1
Adrianna Łobodzińska,2
M. Śnieg,1
Mohd. Samar Ansari,2
Václav Bartoš,1
Brian Lee,1
Wael Issa,1
Nour Moustafa,11
Benjamin Turnbull,5
Nasrin Sohrabi,1
Zahir Tari,1
Patty Kostkova,2
Helen Brewer,1
Simon de Lusignan,2
Edward Fottrell,1
Ben Goldacre,1
Graham Hart,1
Phil Koczan,1
Peter A. Knight,1
Corinne Marsolier,1
Rachel A. McKendry,1
Emma Ross,1
Angela Sasse,1
Ralph Sullivan,1
Sarah Chaytor,1
Olivia Stevenson,1
Raquel Velho,1
John E. Tooke,1
James Oluwaseyi Hodonu-Wusu,1
Noorhidawati Abdullah,3
Abdullah Abrizah,1
Colin G. Walsh,1
Weiyi Xia,1
Muqun Li,1
Joshua C. Denny,1
Paul A. Harris,1
Bradley Malin,5
Suyel Namasudra,1
Ganesh Chandra Deka,1
Prashant Johri,1
Mohammad Hosseinpour,1
Amir H. Gandomi,3
Jie Feng,1
Lei Liu,1
Qingqi Pei,1
Keqin Li,3
Sumit Singh Dhanda,1
Brahmjit Singh,1
Poonam Jindal,1
Hangyu Zhu,2
Haoyu Zhang,1
Yaochu Jin,1
Eric Feczko,1
Greg Conan,1
Scott Marek,1
Brenden Tervo‐Clemmens,1
Michaela Cordova,1
Olivia Doyle,1
Eric Earl,1
Anders Perrone,1
Darrick Sturgeon,1
Rachel G. Klein,1
Gareth Harman,1
Dakota Kilamovich,1
Robert Hermosillo,1
Óscar Miranda-Domínguez,1
Azeez Adebimpe,1
Maxwell A. Bertolero,1
Matthew Cieslak,1
Sydney Covitz,1
Timothy Hendrickson,1
Anthony Juliano,1
Kathy Snider,1
Lucille A. Moore,1
Johnny Uriartel,1
Alice M. Graham,1
Finn Calabro,1
Monica D. Rosenberg,1
Kristina M. Rapuano,1
B.J. Casey,1
Richard Watts,1
Donald J. Hagler,1
Wesley K. Thompson,1
Thomas E. Nichols,1
Elizabeth A. Hoffman,1
Beatríz Luna,1
Hugh Garavan,1
Theodore D. Satterthwaite,1
Sarah Feldstein Ewing,1
Bonnie J. Nagel,1
Nico U.F. Dosenbach,1
Damien A. Fair,1
Yuxin Shi,2
Han Yu,5
Cyril Leung,1
Hanan Hindy,3
Ethan Bayne,1
