Source,Target,Weight
Maanak Gupta,Mahmoud Abdelsalam,2
Maanak Gupta,Sajad Khorsandroo,2
Mahmoud Abdelsalam,Sajad Khorsandroo,2
Jaime Lloret,Omprakash Kaiwartya,2
Ibrar Yaqoob,Muhammad Habib ur Rehman,2
Ibrar Yaqoob,Muhammad Imran,2
Mohammed Ali Al-Garadi,Mohsen Guizani,3
Muhammad Habib ur Rehman,Muhammad Imran,2
Abdelouahid Derhab,Ahmed Emam,2
Abdelouahid Derhab,Arwa Aldweesh,2
Ahmed Emam,Arwa Aldweesh,2
Ara Darzi,Saira Ghafur,2
Emilia Graß,Saira Ghafur,2
Hao Yu,Yunyun Guo,2
Athina P. Petropulu,Christos Masouros,2
Athina P. Petropulu,Fan Liu,2
Athina P. Petropulu,Nanchi Su,2
Athina P. Petropulu,Zhongxiang Wei,2
Christos Masouros,Fan Liu,3
Christos Masouros,Nanchi Su,2
Christos Masouros,Zhongxiang Wei,2
Fan Liu,Nanchi Su,2
Fan Liu,Zhongxiang Wei,2
Nanchi Su,Zhongxiang Wei,2
Danda B. Rawat,Ronald Doku,2
Adrianna Łobodzińska,Irmina Durlik,2
Adrianna Łobodzińska,Tymoteusz Miller,2
Irmina Durlik,Tymoteusz Miller,3
Benjamin Turnbull,Nour Moustafa,5
Christos Tachtatzis,Hanan Hindy,2
Christos Tachtatzis,Miroslav Bureš,2
Christos Tachtatzis,Robert Atkinson,2
Christos Tachtatzis,Xavier Bellekens,2
Hanan Hindy,Miroslav Bureš,2
Hanan Hindy,Robert Atkinson,2
Hanan Hindy,Xavier Bellekens,2
Miroslav Bureš,Robert Atkinson,2
Miroslav Bureš,Xavier Bellekens,2
Robert Atkinson,Xavier Bellekens,2
Dario Stabili,Mirco Marchetti,2
Michele Colajanni,Mirco Marchetti,2
Khaled Salah,Mohammed Omar,2
Khaled Salah,Raja Jayaraman,4
Khaled Salah,Raja Wasim Ahmad,2
Mohammed Omar,Raja Jayaraman,2
Mohammed Omar,Raja Wasim Ahmad,2
Raja Jayaraman,Raja Wasim Ahmad,2
Anita S. Jwa,Russell A. Poldrack,2
Clay Posey,Rebecca J. Bennett,2
Joshua A. Gerlick,Stephan M. Liozu,2
Xiaohong Guan,Zhanbo Xu,2
Abdelouahid Derhab,Omar Cheikhrouhou,2
Aditya Saharia,Dominik Molitor,2
Aditya Saharia,Viju Raghupathi,2
Aditya Saharia,Wullianallur Raghupathi,2
Dominik Molitor,Viju Raghupathi,2
Dominik Molitor,Wullianallur Raghupathi,2
Viju Raghupathi,Wullianallur Raghupathi,2
Kazım Yıldız,Şahsene Altınkaya,2
Chris Greenhalgh,Jeni Tennison,2
Chris Greenhalgh,Lucélia Rodrigues,2
Chris Greenhalgh,Murray Goulden,2
Chris Greenhalgh,Nancy Hughes,2
Chris Greenhalgh,Roza Vasileva,2
Jeni Tennison,Lucélia Rodrigues,2
Jeni Tennison,Murray Goulden,2
Jeni Tennison,Nancy Hughes,2
Jeni Tennison,Roza Vasileva,2
Lucélia Rodrigues,Murray Goulden,2
