Id,Frequency
variety (cybernetics),88
computer security,2295
computer science,4325
agriculture,40
internet of things,399
internet privacy,778
precision agriculture,11
business,1595
artificial intelligence,1519
ecology,182
biology,732
accountability,108
health care,475
transparency (behavior),235
software deployment,153
audit,48
applications of artificial intelligence,71
best practice,39
foundation (evidence),9
knowledge management,666
political science,1578
law,1324
operating system,886
accounting,95
context (archaeology),323
electric vehicle,4
engineering,1295
adaptation (eye),25
risk analysis (engineering),361
optics,52
physics,443
power (physics),120
quantum mechanics,229
paleontology,292
metering mode,6
smart grid,107
salient,10
reliability (semiconductor),40
open research,72
sustainability,88
mechanical engineering,209
world wide web,986
electrical engineering,234
data science,1290
machine learning,551
denial-of-service attack,54
deep learning,183
network security,53
the internet,481
ransomware,57
key (lock),236
malware,143
intrusion detection system,177
anomaly detection,88
software engineering,161
harm,47
medical emergency,28
service (business),87
medicine,771
marketing,356
generative grammar,115
field (mathematics),212
personalization,30
quality (philosophy),77
mathematics,592
epistemology,264
philosophy,551
pure mathematics,215
transmission (telecommunications),6
wireless,75
telecommunications,253
big data,364
data security,47
data mining,507
encryption,143
automation,74
process (computing),219
plan (archaeology),9
military technology,1
engineering management,95
archaeology,153
history,67
cyber-physical system,78
perspective (graphical),106
remedial education,1
control (management),84
symmetric-key algorithm,2
public-key cryptography,18
mathematical proof,2
semantic security,1
attribute-based encryption,1
information retrieval,61
theoretical computer science,37
geometry,119
interconnectivity,7
home automation,13
cyber threats,49
taxonomy (biology),51
cloud computing,302
botany,132
systems engineering,122
state (computer science),92
current (fluid),28
forensic engineering,2
algorithm,164
thematic analysis,40
stakeholder,51
vendor,7
public relations,423
qualitative research,73
sociology,600
social science,219
interoperability,104
systematic review,89
emerging technologies,90
medline,137
feature selection,25
task (project management),39
feature engineering,6
intrusion,24
feature (linguistics),35
management,115
geochemistry,22
geology,49
economics,672
linguistics,266
blockchain,303
scalability,115
analytics,138
database,231
information privacy,326
open data,50
confidentiality,120
data sharing,190
social media,71
popularity,42
psychology,788
alternative medicine,244
pathology,398
social psychology,228
economic growth,278
openness to experience,15
open_science,44
open government,11
incentive,24
reuse,14
bridging (networking),17
data collection,42
government (linguistics),136
knowledge sharing,6
astronomy,44
waste management,15
computer network,275
microeconomics,69
health insurance portability and accountability act,8
identification (biology),81
software portability,6
scale (ratio),49
fidelity,5
engineering ethics,434
programming language,386
asset (computer security),23
decentralization,15
immutability,13
cryptography,109
subcarrier,1
mathematical optimization,11
heuristic,5
enhanced data rates for gsm evolution,56
convergence (economics),9
geometric programming,1
optimization problem,2
distributed computing,154
channel (broadcasting),10
orthogonal frequency-division multiplexing,1
cryptographic primitive,10
elliptic curve cryptography,4
security of cryptographic hash functions,2
block cipher,1
embedded system,160
cryptographic protocol,16
architecture,85
artificial neural network,85
implementation,42
reinforcement learning,26
computational intelligence,8
visual arts,105
art,132
upload,16
set (abstract data type),100
public health,68
neuroimaging,4
psychiatry,63
process management,189
management science,189
mqtt,3
message queue,2
network packet,26
protocol (science),36
direct anonymous attestation,2
trusted computing,3
transformative learning,94
pedagogy,149
metaverse,40
visualization,15
possible world,7
human–computer interaction,125
virtual reality,49
human multitasking,1
cognitive computing,3
adaptability,13
domain (mathematical analysis),97
situation awareness,20
human intelligence,13
cognition,17
mathematical analysis,159
neuroscience,90
aerospace engineering,84
cognitive psychology,21
knowledge graph,5
graph,6
hamming distance,1
constraint (computer-aided design),3
automotive industry,16
rdm,3
workflow,35
data curation,24
conceptual framework,20
data management,54
originality,33
conceptual model,3
traceability,19
port (circuit theory),6
supply chain,9
outsourcing,9
pandemic,70
mobility model,1
mobile phone,7
coronavirus disease 2019 (covid-19),96
geography,232
infectious disease (medical specialty),95
disease,111
neuroinformatics,4
data protection act 1998,143
stewardship (theology),10
intellectual property,13
corporate governance,202
data governance,67
frontier,7
data quality,89
finance,375
politics,180
metric (unit),89
grid,56
cyber-attack,43
geodesy,71
documentation,14
medical education,78
grey literature,10
reactance,1
deterrence theory,2
blame,3
voltage,18
testbed,14
emulation,5
microgrid,21
real time digital simulator,2
simulation,4
real-time computing,32
electric power system,41
metadata,25
anonymity,21
ethical issues,52
deception,8
revenue management,2
organizational justice,2
economic justice,25
empirical research,38
organizational commitment,2
revenue,12
grasp,2
vehicular ad hoc network,16
intelligent transportation system,23
wireless ad hoc network,16
transport engineering,41
cyberspace,45
authentication (law),81
network access control,1
cloud computing security,92
service-oriented architecture,1
web service,5
standardization,39
information sharing,11
information exchange,8
risk management,62
compromise,23
information security,115
software security assurance,13
security testing,10
software,92
information security standards,5
security information and event management,38
security service,40
network security policy,13
recurrent neural network,8
multilayer perceptron,2
long short term memory,2
perceptron,3
edge computing,47
edge device,21
inference,17
wireless network,15
hacker,62
vulnerability (computing),74
vulnerability assessment,16
vulnerability management,7
component (thermodynamics),11
work (physics),118
psychological resilience,12
psychotherapist,59
thermodynamics,84
session (web analytics),4
man-in-the-middle attack,3
transport layer security,1
domain name,3
raw data,19
range (aeronautics),12
composite material,14
materials science,29
data breach,58
identity theft,13
credit card,8
exploratory research,10
phishing,59
data analysis,35
payment,27
anthropology,29
information and communications technology,31
promotion (chess),9
competition (biology),17
industrial organization,57
viewpoints,10
energy security,6
efficient energy use,20
energy policy,3
environmental economics,52
public economics,10
renewable energy,49
data exchange,10
correctness,7
security token,3
scheme (mathematics),20
enterprise resource planning,1
distributed ledger,13
bottleneck,6
cloudlet,1
data processing,6
intrusion prevention system,9
usable,4
curriculum,28
quality of service,9
stateful firewall,2
smart city,85
cartography,27
adversarial system,44
survey research,2
generative adversarial network,4
image (mathematics),38
applied psychology,29
library science,55
python (programming language),9
computer graphics (images),4
obfuscation,8
risk assessment,32
preparedness,16
multinomial logistic regression,1
risk perception,5
perception,50
survey data collection,11
statistics,131
zero (linguistics),17
zero-knowledge proof,5
beijing,2
washington consensus,1
china,27
usability,34
autonomy,46
reciprocity (cultural anthropology),4
user experience design,1
end user,1
emergency management,10
scope (computer science),69
unintended consequences,14
research ethics,25
order (exchange),51
proteomics,4
biochemistry,109
gene,106
energy management,10
energy consumption,10
energy management system,3
energy (signal processing),26
higher education,51
sustainability science,3
conversation,12
sustainability organizations,3
communication,18
internet governance,2
internet research,1
public administration,66
media studies,13
environmental resource management,36
biodiversity,3
citizen science,15
wildlife,1
deforestation (computer science),1
endangered species,1
environmental planning,31
habitat,1
environmental science,41
inclusion (mineral),24
ethical standards,5
security domain,8
focus (optics),42
mathematics education,75
trustworthiness,60
differential privacy,31
robustness (evolution),36
chemistry,134
federated learning,50
attack surface,18
adversary,21
smart objects,4
resource (disambiguation),49
isolation (microbiology),7
microbiology,8
situational ethics,7
personally identifiable information,42
construct (python library),12
information sensitivity,11
e-commerce,12
section (typography),2
liability,10
advertising,31
probabilistic logic,10
software as a service,1
relevance (law),34
facilitator,2
mobile device,22
service catalog,1
information access,1
service provider,21
software development,7
service design,2
position (finance),7
position paper,6
law and economics,77
environmental ethics,27
electricity,36
electricity system,1
architectural engineering,22
electricity generation,4
node (physics),15
key-agreement protocol,1
security analysis,10
key distribution,1
structural engineering,23
strengths and weaknesses,18
publishing,36
preprint,6
mental health,29
nursing,140
clinical trial,14
leverage (statistics),54
privacy by design,72
realm,24
digital evidence,16
digital forensics,27
computer forensics,11
law enforcement,29
cyber crime,8
cybercrime,70
network forensics,5
financial services,45
systemic risk,3
financial crisis,6
macroeconomics,41
information warfare,5
game theory,5
influence diagram,1
information operations,3
information system,34
operations research,36
decision tree,28
communicable disease,1
disease surveillance,3
global health,13
mobile payment,4
database transaction,30
session key,1
non-repudiation,2
hash function,19
near field communication,2
key exchange,2
mobile commerce,1
ultra high frequency,2
verifiable secret sharing,8
pseudorandom number generator,1
business management,2
business administration,3
robotics,20
robot,31
statistical inference,2
estimator,3
variance (accounting),3
statistical model,2
private information retrieval,3
econometrics,17
legislation,33
resilience (materials science),71
multidisciplinary approach,25
hospitality,7
tourism,13
insider threat,8
insider,14
prospect theory,1
dimension (graph theory),13
expected utility hypothesis,2
frame (networking),2
mathematical economics,10
public value,4
interactive kiosk,1
value (mathematics),62
business value,5
human capital,6
population,60
crossover,1
data publishing,8
competitor analysis,5
operator (biology),1
transcription factor,2
repressor,1
demography,29
extant taxon,15
evolutionary biology,33
geopolitics,12
cyberwarfare,16
russian federation,1
economy,26
regional science,14
transfer of learning,10
convolutional neural network,37
cognitive science,46
cryptocurrency,31
smart contract,35
electricity market,6
non-communicable disease,1
burden of disease,1
low and middle income countries,1
environmental health,50
gerontology,14
developing country,18
covert,10
drone,34
honeypot,9
genetics,74
application layer,8
differential (mechanical device),5
spear,2
athletes,3
wearable technology,24
wearable computer,38
informed consent,19
sports medicine,1
cardiology,3
internal medicine,54
physical therapy,4
open label,1
medical physics,7
early adopter,1
selection (genetic algorithm),20
credit card fraud,2
adversarial machine learning,8
evasion (ethics),9
sandbox (software development),4
threat model,11
botnet,33
android malware,7
false accusation,1
support vector machine,52
deep neural networks,6
commit,7
trinoo,8
application layer ddos attack,8
denial,1
psychoanalysis,5
enterprise information security architecture,4
industry 4.0,63
industrial control system,5
academic writing,4
affect (linguistics),7
autism spectrum disorder,4
economic shortage,6
dyslexia,1
attention deficit hyperactivity disorder,1
autism,3
reading (process),3
clothing,1
structural equation modeling,11
normalization (sociology),1
customer satisfaction,3
interpretability,36
open architecture,1
democracy,28
political economy,30
foreign policy,5
financial sector,8
anomaly (physics),21
condensed matter physics,19
certification,15
scrutiny,14
secrecy,7
business model,38
disruptive technology,1
manufacturing engineering,23
legitimacy,12
compliance (psychology),34
mental healthcare,3
synthetic data,11
digital transformation,76
point of care,2
sepsis,2
intensive care medicine,17
critical thinking,4
reconfigurability,1
field-programmable gate array,4
reconfigurable computing,1
computer architecture,10
status quo,8
privacy policy,46
product (mathematics),21
market economy,14
overhead (engineering),18
modular design,4
benchmark (surveying),43
tariff,1
dynamic pricing,3
electricity pricing,1
demand response,12
thematic map,7
demand management,1
dynamic demand,1
peak demand,1
international trade,55
taxpayer,1
charter,2
proof of concept,6
psychological intervention,43
digitization,26
digital health,61
information technology,27
digital revolution,10
subject (documents),17
scopus,34
citation,10
likert scale,2
health technology,6
developmental psychology,16
wireless sensor network,33
food security,11
generalizability theory,8
computational model,3
psychological science,1
personality,4
computational sociology,1
social neuroscience,2
social cognition,2
access control,39
biosecurity,4
authoritarianism,4
local government,5
ransom,12
negotiation,6
capability maturity model,5
master data,1
linked data,3
semantic web,5
ibm,4
globe,14
nanotechnology,15
ophthalmology,11
data aggregator,6
attribution,9
term (time),5
fintech,16
mnist database,3
data modeling,17
margin (machine learning),1
operations management,55
general partnership,12
mediation,3
critical incident technique,1
security policy,9
state of art,1
unavailability,4
downtime,7
live migration,1
virtual machine,3
virtualization,8
orchestration,12
high availability,2
reliability engineering,21
musical,13
profitability index,4
retail banking,4
banking industry,9
function (biology),18
competitive advantage,12
observational study,8
cohort,5
cohort study,3
commons,6
genome-wide association study,2
genetic association,1
genetic architecture,1
trait,2
heritability,1
computational biology,26
quantitative trait locus,1
single-nucleotide polymorphism,2
genotype,2
data access,20
server,28
predictive analytics,21
business intelligence,33
countermeasure,9
data deduplication,2
data integrity,23
cloud storage,6
arbitration,2
private sector,13
brier score,1
receiver operating characteristic,4
gradient boosting,11
boosting (machine learning),17
calibration,1
f1 score,3
odds,2
random forest,40
logistic regression,5
multitude,6
ingenuity,2
neoclassical economics,3
health data,14
statistical learning,1
healthcare system,24
health informatics,34
patient privacy,8
exploit,51
key generation,1
physical layer,6
randomness,2
beacon,1
nist,13
randomness tests,1
bit error rate,1
computer engineering,5
speech recognition,11
information security management,11
clarity,14
certified information security manager,1
commission,4
qualitative property,15
clinical decision support system,10
decision support system,12
multimodality,2
multimedia,39
swift,1
vehicular communication systems,6
latency (audio),8
fog computing,9
european union,59
unfair_data competition,1
aeronautics,10
climate change,7
reputation,23
research data,12
resource allocation,5
wage,1
labour economics,1
academic library,2
greenhouse gas,12
metropolitan area,3
bandwidth (computing),5
enabling,25
synchronization (alternating current),2
power consumption,2
extremely high frequency,2
bibliometrics,17
publication,7
public domain,1
topic model,3
computer vision,35
facial recognition system,8
face (sociological concept),19
three-dimensional face recognition,1
face detection,1
object-class detection,1
pattern recognition (psychology),53
security through obscurity,16
marketing research,4
social media marketing,5
digital marketing,8
data set,8
personalized search,1
search engine,3
forwarding plane,2
control reconfiguration,4
flexibility (engineering),39
