year,-1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79
2010.0,4,0,1,0,0,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011.0,8,0,0,0,0,3,0,3,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012.0,4,0,0,0,2,2,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,2,1,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2013.0,8,1,1,1,1,2,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2014.0,11,0,0,2,0,6,0,5,0,0,0,0,0,0,3,1,1,0,3,0,0,1,0,0,0,0,0,0,0,0,2,1,0,0,0,0,1,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015.0,8,0,1,4,1,3,0,3,0,0,0,0,0,2,5,0,1,0,1,0,0,1,3,0,1,0,0,0,0,0,2,2,0,0,0,2,1,0,1,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
2016.0,18,1,2,5,0,9,0,4,0,0,0,2,0,3,2,2,1,0,6,0,0,3,1,0,0,0,0,1,0,0,1,0,1,0,0,0,2,0,0,1,0,0,1,0,1,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2017.0,28,4,7,5,5,6,0,9,0,1,1,0,0,1,6,4,3,0,5,0,0,2,3,0,3,2,0,1,1,0,1,0,3,1,0,0,1,2,2,0,0,1,0,0,0,2,1,0,0,0,0,1,0,1,3,1,2,2,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2
2018.0,44,0,12,4,9,10,2,11,1,7,0,5,0,1,5,1,0,0,3,0,0,5,3,0,0,1,3,1,0,0,3,1,3,1,0,2,1,1,2,3,0,1,0,0,0,3,4,0,0,0,2,1,0,2,3,0,2,0,0,2,0,2,1,0,0,1,0,0,0,0,1,0,0,4,0,0,1,1,1,1,2
2019.0,67,6,32,14,15,17,0,13,4,6,4,10,0,10,7,8,6,1,13,0,0,5,4,3,5,1,0,1,0,1,4,3,0,0,1,0,2,2,4,1,1,2,3,0,1,0,1,0,0,2,3,2,0,3,0,1,0,3,0,3,1,4,1,0,0,0,0,2,0,0,0,0,0,1,1,1,0,2,0,0,0
