author,paper_count,total_citations,avg_citations
Francisco Herrera,7,12191,1741.5714285714287
Javier Del Ser,7,12100,1728.5714285714287
Natalia Díaz-Rodríguez,5,11023,2204.6
Yogesh K. Dwivedi,12,9816,818.0
Daniel Molina,3,9478,3159.3333333333335
Richard Benjamins,3,9390,3130.0
Matei Zaharia,2,8973,4486.5
Ion Stoica,2,8973,4486.5
Michael Armbrust,1,8946,8946.0
Armando Fox,1,8946,8946.0
Andy Konwinski,1,8946,8946.0
Randy H. Katz,1,8946,8946.0
Anthony D. Joseph,1,8946,8946.0
Ariel Rabkin,1,8946,8946.0
Gunho Lee,1,8946,8946.0
David A. Patterson,1,8946,8946.0
Rean Griffith,1,8946,8946.0
Salvador García,2,8865,4432.5
Siham Tabik,1,8652,8652.0
Sergio Gil-López,1,8652,8652.0
Raja Chatila,1,8652,8652.0
Adrien Bennetot,1,8652,8652.0
Alberto Barbado,1,8652,8652.0
Alejandro Barredo Arrieta,1,8652,8652.0
Ramakrishnan Raman,5,6823,1364.6
Nripendra P. Rana,7,6443,920.4285714285714
Luciano Floridi,23,5264,228.8695652173913
Urs Gasser,4,5110,1277.5
Vinay Chamola,7,4982,711.7142857142857
Laurie Hughes,5,4972,994.4
Arpan Kumar Kar,6,4971,828.5
Marijn Janssen,6,4872,812.0
Maria Bannert,1,4676,4676.0
Oleksandra Poquet,1,4676,4676.0
Enkelejda Kasneci,1,4676,4676.0
Matthias Stadler,1,4676,4676.0
Michael Sailer,1,4676,4676.0
Stefan Küchemann,1,4676,4676.0
Jochen Kühn,1,4676,4676.0
Tina Seidel,1,4676,4676.0
Tilman Michaeli,1,4676,4676.0
Claudia Nerdel,1,4676,4676.0
Kathrin Seßler,1,4676,4676.0
Jürgen Pfeffer,1,4676,4676.0
Stephan Krusche,1,4676,4676.0
Albrecht Schmidt,1,4676,4676.0
Stephan Günnemann,1,4676,4676.0
J. Weller,1,4676,4676.0
Daryna Dementieva,1,4676,4676.0
Gjergji Kasneci,1,4676,4676.0
Eyke Hüllermeier,1,4676,4676.0
