Source,Target,Weight
agriculture,artificial intelligence,13
agriculture,biology,19
agriculture,business,27
agriculture,computer science,35
agriculture,computer security,17
agriculture,ecology,18
agriculture,internet of things,3
agriculture,internet privacy,8
agriculture,precision agriculture,11
artificial intelligence,biology,239
artificial intelligence,business,279
artificial intelligence,computer science,1517
artificial intelligence,computer security,623
artificial intelligence,ecology,45
artificial intelligence,internet of things,113
artificial intelligence,internet privacy,109
artificial intelligence,precision agriculture,8
artificial intelligence,variety (cybernetics),87
biology,business,281
biology,computer science,667
biology,computer security,342
biology,ecology,182
biology,internet of things,71
biology,internet privacy,99
biology,precision agriculture,8
biology,variety (cybernetics),24
business,computer science,1391
business,computer security,814
business,ecology,106
business,internet of things,112
business,internet privacy,369
business,precision agriculture,4
business,variety (cybernetics),23
computer science,computer security,2294
computer science,ecology,151
computer science,internet of things,398
computer science,internet privacy,775
computer science,precision agriculture,11
computer science,variety (cybernetics),88
computer security,ecology,63
computer security,internet of things,348
computer security,internet privacy,579
computer security,precision agriculture,5
computer security,variety (cybernetics),51
ecology,internet of things,25
ecology,internet privacy,16
ecology,precision agriculture,8
ecology,variety (cybernetics),3
internet of things,internet privacy,98
internet of things,variety (cybernetics),13
internet privacy,precision agriculture,3
internet privacy,variety (cybernetics),15
accountability,accounting,13
accountability,applications of artificial intelligence,6
accountability,artificial intelligence,27
accountability,audit,7
accountability,best practice,5
accountability,business,71
accountability,computer science,86
accountability,computer security,55
accountability,health care,25
accountability,knowledge management,40
accountability,law,94
accountability,operating system,16
accountability,political science,103
accountability,software deployment,8
accountability,transparency (behavior),67
accounting,artificial intelligence,13
accounting,audit,44
accounting,best practice,4
accounting,business,94
accounting,computer science,78
accounting,computer security,50
accounting,health care,8
accounting,knowledge management,22
accounting,law,31
accounting,operating system,14
accounting,political science,39
accounting,software deployment,5
accounting,transparency (behavior),16
applications of artificial intelligence,artificial intelligence,65
applications of artificial intelligence,business,13
applications of artificial intelligence,computer science,68
applications of artificial intelligence,computer security,19
applications of artificial intelligence,health care,21
applications of artificial intelligence,knowledge management,24
applications of artificial intelligence,law,24
applications of artificial intelligence,operating system,11
applications of artificial intelligence,political science,27
applications of artificial intelligence,software deployment,7
applications of artificial intelligence,transparency (behavior),7
artificial intelligence,audit,10
artificial intelligence,best practice,7
artificial intelligence,foundation (evidence),5
artificial intelligence,health care,143
artificial intelligence,knowledge management,217
artificial intelligence,law,308
artificial intelligence,operating system,287
artificial intelligence,political science,354
artificial intelligence,software deployment,56
artificial intelligence,transparency (behavior),68
audit,best practice,3
audit,business,45
audit,computer science,45
audit,computer security,33
audit,health care,7
audit,knowledge management,18
audit,law,16
audit,operating system,11
audit,political science,21
audit,software deployment,5
audit,transparency (behavior),9
best practice,business,21
best practice,computer science,38
best practice,computer security,25
best practice,health care,5
best practice,knowledge management,20
best practice,law,19
best practice,operating system,5
best practice,political science,22
best practice,transparency (behavior),12
business,foundation (evidence),3
business,health care,186
business,knowledge management,364
business,law,627
business,operating system,283
business,political science,758
business,software deployment,43
business,transparency (behavior),116
computer science,foundation (evidence),8
computer science,health care,424
computer science,knowledge management,655
computer science,law,1113
computer science,operating system,886
computer science,political science,1298
computer science,software deployment,152
computer science,transparency (behavior),216
computer security,health care,188
computer security,knowledge management,221
computer security,law,547
computer security,operating system,565
computer security,political science,623
computer security,software deployment,101
computer security,transparency (behavior),188
foundation (evidence),health care,4
foundation (evidence),knowledge management,5
foundation (evidence),law,6
foundation (evidence),political science,6
health care,knowledge management,122
health care,law,312
health care,operating system,70
health care,political science,321
health care,software deployment,18
health care,transparency (behavior),41
knowledge management,law,262
knowledge management,operating system,144
knowledge management,political science,328
knowledge management,software deployment,36
knowledge management,transparency (behavior),64
law,operating system,203
law,political science,1324
law,software deployment,29
law,transparency (behavior),129
operating system,political science,215
operating system,software deployment,104
operating system,transparency (behavior),48
political science,software deployment,34
political science,transparency (behavior),141
software deployment,transparency (behavior),11
adaptation (eye),biology,4
adaptation (eye),business,14
adaptation (eye),computer science,19
adaptation (eye),computer security,10
adaptation (eye),context (archaeology),3
adaptation (eye),engineering,9
adaptation (eye),optics,11
adaptation (eye),physics,12
adaptation (eye),risk analysis (engineering),7
biology,context (archaeology),281
biology,engineering,239
biology,optics,8
biology,paleontology,290
biology,physics,74
biology,power (physics),14
biology,quantum mechanics,31
biology,risk analysis (engineering),70
business,context (archaeology),135
business,engineering,461
business,optics,18
business,paleontology,112
business,physics,133
business,power (physics),32
business,quantum mechanics,62
business,risk analysis (engineering),310
computer science,context (archaeology),299
computer science,electric vehicle,3
computer science,engineering,1150
computer science,optics,49
computer science,paleontology,279
computer science,physics,422
computer science,power (physics),113
computer science,quantum mechanics,216
computer science,risk analysis (engineering),350
computer security,context (archaeology),178
computer security,electric vehicle,3
computer security,engineering,540
computer security,optics,25
computer security,paleontology,166
computer security,physics,211
computer security,power (physics),50
computer security,quantum mechanics,99
computer security,risk analysis (engineering),272
context (archaeology),engineering,99
context (archaeology),optics,7
context (archaeology),paleontology,269
context (archaeology),physics,38
context (archaeology),power (physics),7
context (archaeology),quantum mechanics,12
context (archaeology),risk analysis (engineering),33
electric vehicle,engineering,3
electric vehicle,physics,4
electric vehicle,power (physics),4
electric vehicle,quantum mechanics,4
engineering,optics,9
engineering,paleontology,92
engineering,physics,179
engineering,power (physics),74
engineering,quantum mechanics,112
engineering,risk analysis (engineering),168
optics,paleontology,4
optics,physics,52
optics,quantum mechanics,3
optics,risk analysis (engineering),7
paleontology,physics,33
paleontology,power (physics),7
paleontology,quantum mechanics,14
paleontology,risk analysis (engineering),31
physics,power (physics),119
physics,quantum mechanics,229
physics,risk analysis (engineering),61
power (physics),quantum mechanics,119
power (physics),risk analysis (engineering),23
quantum mechanics,risk analysis (engineering),35
artificial intelligence,electrical engineering,62
artificial intelligence,engineering,410
artificial intelligence,mechanical engineering,70
artificial intelligence,metering mode,3
artificial intelligence,open research,26
artificial intelligence,physics,152
artificial intelligence,power (physics),43
artificial intelligence,quantum mechanics,76
artificial intelligence,reliability (semiconductor),18
artificial intelligence,salient,6
artificial intelligence,smart grid,29
artificial intelligence,sustainability,18
artificial intelligence,world wide web,262
biology,electrical engineering,40
biology,mechanical engineering,38
biology,open research,14
biology,reliability (semiconductor),5
biology,salient,4
biology,smart grid,19
biology,sustainability,86
biology,world wide web,160
computer science,electrical engineering,219
computer science,mechanical engineering,198
computer science,metering mode,6
computer science,open research,71
computer science,reliability (semiconductor),39
computer science,salient,9
computer science,smart grid,105
computer science,sustainability,76
computer science,world wide web,986
computer security,electrical engineering,125
computer security,mechanical engineering,128
computer security,metering mode,6
computer security,open research,45
computer security,reliability (semiconductor),21
computer security,salient,6
computer security,smart grid,74
computer security,sustainability,29
computer security,world wide web,577
ecology,electrical engineering,15
ecology,engineering,68
ecology,mechanical engineering,9
