journal,paper_count,total_citations,avg_citations,h_index
IEEE Access,370,62642,169.3027027027027,141
Unknown Source,349,28543,81.78510028653295,84
Sensors,105,15261,145.34285714285716,66
Sustainability,68,11174,164.3235294117647,50
Electronics,67,6338,94.59701492537313,48
Applied Sciences,47,7640,162.5531914893617,41
Journal of Medical Internet Research,39,7926,203.23076923076923,32
ACM Computing Surveys,38,8493,223.5,32
Energies,36,4235,117.63888888888889,30
arXiv (Cornell University),65,6614,101.75384615384615,29
IEEE Communications Surveys & Tutorials,25,10384,415.36,25
Computers & Security,33,3240,98.18181818181819,23
AI and Ethics,28,4446,158.78571428571428,23
Artificial Intelligence Review,25,3997,159.88,22
World Journal of Advanced Research and Reviews,32,1137,35.53125,20
Scientific Reports,23,1385,60.21739130434783,20
Journal Of Big Data,20,10493,524.65,20
International Journal of Information Security,27,1089,40.333333333333336,19
Future Internet,25,2722,108.88,19
Heliyon,20,2051,102.55,19
npj Digital Medicine,19,6616,348.2105263157895,18
SSRN Electronic Journal,41,3378,82.39024390243902,17
Information,21,1818,86.57142857142857,17
IEEE Internet of Things Journal,19,2715,142.89473684210526,17
PLoS ONE,16,3295,205.9375,16
Computer law & security review,17,1208,71.05882352941177,15
Cureus,17,1694,99.6470588235294,15
Information Systems Frontiers,17,2234,131.41176470588235,15
Healthcare,15,6464,430.93333333333334,15
Security and Communication Networks,18,1506,83.66666666666667,14
AI & Society,15,2773,184.86666666666667,14
Internet Policy Review,14,1486,106.14285714285714,14
The Lancet Digital Health,15,1977,131.8,13
Science and Engineering Ethics,14,3082,220.14285714285714,13
Smart Cities,14,2095,149.64285714285714,13
Journal of Cybersecurity,16,482,30.125,12
Frontiers in Artificial Intelligence,13,682,52.46153846153846,12
Wireless Communications and Mobile Computing,13,889,68.38461538461539,12
Humanities and Social Sciences Communications,12,1367,113.91666666666667,12
Symmetry,12,1626,135.5,12
International Journal of Advanced Computer Science and Applications,14,1164,83.14285714285714,11
Big Data and Cognitive Computing,12,1576,131.33333333333334,11
Computer Science & IT Research Journal,11,907,82.45454545454545,11
IEEE Open Journal of the Communications Society,11,3394,308.54545454545456,11
Journal of Business Ethics,11,1990,180.9090909090909,11
Journal of Cybersecurity and Privacy,11,715,65.0,10
Finance & Accounting Research Journal,10,500,50.0,10
Frontiers in Public Health,10,1459,145.9,10
JMIR mhealth and uhealth,10,1790,179.0,10
Journal of Modern Power Systems and Clean Energy,10,1358,135.8,10
